Exercise,Difficulty Level,Primary Equipment,Prime Mover Muscle,Secondary Muscle,Body Region
Slider Single Arm Dumbbell Overhead Contralateral Lateral Lunge,Intermediate,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Single Arm Dumbbell Overhead Ipsilateral Lateral Lunge,Intermediate,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Single Arm Dumbbell Low Hold Contralateral Lateral Lunge,Novice,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Dumbbell Low Hold Alternating Lateral Lunge,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Dumbbell Seated Shrug,Beginner,Dumbbell,Upper Trapezius,Levator Scapulae,Upper Body
Double Kettlebell Seated Shrug,Beginner,Kettlebell,Upper Trapezius,Levator Scapulae,Upper Body
Slider Clubbell Order Lateral Lunge,Novice,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Double Clubbell Order Lateral Lunge,Novice,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Single Arm Clubbell Order Contralateral Lateral Lunge,Novice,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Single Arm Clubbell Order Ipsilateral Lateral Lunge,Novice,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Macebell Order Lateral Lunge,Novice,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Single Arm Macebell Order Contralateral Lateral Lunge,Novice,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Single Arm Macebell Order Ipsilateral Lateral Lunge,Novice,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Stability Ball Miniband Feet Elevated Glute Bridge,Novice,Stability Ball,Gluteus Maximus,Biceps Femoris,Lower Body
Stability Ball Frog Reverse Hyperextension,Novice,Stability Ball,Gluteus Maximus,,Lower Body
Stability Ball Bulgarian Split Squat,Intermediate,Stability Ball,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Dumbbell Suitcase Bulgarian Split Squat Jump,Advanced,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Suspension Reverse Lunge,Beginner,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Bulgarian Bag Back Rack Lateral Lunge,Novice,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Sandbag Front Rack Lateral Lunge,Novice,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Sandbag Back Rack Lateral Lunge,Novice,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Miniband Ankle Monster Walk,Novice,Miniband,Gluteus Medius,Gluteus Minimus,Lower Body
Slider Landmine Goblet Lateral Lunge,Novice,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Landmine Low Hold Lateral Lunge,Novice,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Single Arm Kettlebell Front Rack Contralateral Lateral Lunge,Novice,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Single Arm Kettlebell Front Rack Ipsilateral Lateral Lunge,Novice,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Single Arm Kettlebell Bottoms Up Front Rack Contralateral Lateral Lunge,Intermediate,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Lateral Lunge,Intermediate,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Single Arm Kettlebell Overhead Contralateral Lateral Lunge,Intermediate,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Single Arm Kettlebell Overhead Ipsilateral Lateral Lunge,Intermediate,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Single Arm Kettlebell Bottoms Up Overhead Contralateral Lateral Lunge,Advanced,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Lateral Lunge,Advanced,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Single Arm Kettlebell Low Hold Contralateral Lateral Lunge,Novice,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Plate Overhead Lateral Lunge,Intermediate,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Plate Overhead Reverse Lunge,Intermediate,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Reverse Grip Incline Push Up,Beginner,Barbell,Pectoralis Major,,Upper Body
Single Arm Dumbbell Shrug,Beginner,Dumbbell,Upper Trapezius,Levator Scapulae,Upper Body
Single Arm Dumbbell Tall Kneeling Shrug,Beginner,Dumbbell,Upper Trapezius,Levator Scapulae,Upper Body
Single Arm Dumbbell Seated Shrug,Beginner,Dumbbell,Upper Trapezius,Levator Scapulae,Upper Body
Single Arm Kettlebell Shrug,Beginner,Kettlebell,Upper Trapezius,Levator Scapulae,Upper Body
Double Dumbbell Hang Snatch,Intermediate,Dumbbell,Gluteus Maximus,Anterior Deltoids ,Full Body
Single Arm Dumbbell Hang Snatch,Intermediate,Dumbbell,Gluteus Maximus,Anterior Deltoids ,Full Body
Alternating Single Arm Dumbbell Hang Snatch,Intermediate,Dumbbell,Gluteus Maximus,Anterior Deltoids ,Full Body
Miniband Kneeling Side Plank Clamshell,Novice,Miniband,Gluteus Maximus,Gluteus Medius,Lower Body
Miniband Thigh Side Plank Hip Abduction,Novice,Miniband,Gluteus Medius,Gluteus Minimus,Lower Body
Stability Ball Feet Elevated Russian Twist,Novice,Stability Ball,Obliques,Rectus Abdominis,Core
Bodyweight Alternating Single Leg V Up,Novice,Bodyweight,Rectus Abdominis,Iliopsoas,Core
Battle Rope Alternating Lateral Lunge Alternating Wave,Intermediate,Battle Ropes,Quadriceps Femoris,Biceps Brachii,Full Body
Single Arm Kettlebell Tall Kneeling Shrug,Beginner,Kettlebell,Upper Trapezius,Levator Scapulae,Upper Body
Single Arm Kettlebell Seated Shrug,Beginner,Kettlebell,Upper Trapezius,Levator Scapulae,Upper Body
Plate Hip Thrust,Beginner,Weight Plate,Gluteus Maximus,Biceps Femoris,Lower Body
Double Dumbbell Incline Bench Prone Shrug,Beginner,Dumbbell,Upper Trapezius,Levator Scapulae,Upper Body
Suspension Single Leg Foot Elevated Glute Bridge,Intermediate,Suspension Trainer,Gluteus Maximus,Biceps Femoris,Lower Body
Tire Single Leg Foot Elevated Glute Bridge,Intermediate,Tire,Gluteus Maximus,Biceps Femoris,Lower Body
Double Kettlebell Incline Bench Prone Shrug,Beginner,Kettlebell,Upper Trapezius,Levator Scapulae,Upper Body
Suspension Sissy Squat,Novice,Suspension Trainer,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Incline Bench Prone Shrug,Beginner,Dumbbell,Upper Trapezius,Levator Scapulae,Upper Body
Single Arm Kettlebell Incline Bench Prone Shrug,Beginner,Kettlebell,Upper Trapezius,Levator Scapulae,Upper Body
Double Dumbbell Seesaw Bench Press,Beginner,Dumbbell,Pectoralis Major,Triceps Brachii,Upper Body
Bulgarian Bag Dead Squat Clean,Intermediate,Bulgarian Bag,Quadriceps Femoris,Gluteus Maximus,Full Body
Double Dumbbell Seesaw Incline Bench Press,Beginner,Dumbbell,Pectoralis Major,Triceps Brachii,Upper Body
Double Dumbbell Seesaw Decline Bench Press,Beginner,Dumbbell,Pectoralis Major,Triceps Brachii,Upper Body
Bodyweight Hand Assisted Pistol Squat,Intermediate,Bodyweight,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Suitcase Alternating Curtsy Lunge,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Overhead Alternating Curtsy Lunge,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Bottoms Up Front Rack Alternating Curtsy Lunge,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Bottoms Up Overhead Alternating Curtsy Lunge,Advanced,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Front Rack Alternating Curtsy Lunge,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Suitcase Alternating Curtsy Lunge,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Overhead Alternating Curtsy Lunge,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Bottoms Up Overhead Alternating Curtsy Lunge,Advanced,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Bottoms Up Front Rack Alternating Curtsy Lunge,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Dumbbell Front Rack Alternating Curtsy Lunge,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Dumbbell Suitcase Alternating Curtsy Lunge,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Dumbbell Overhead Alternating Curtsy Lunge,Intermediate,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Front Rack Alternating Curtsy Lunge,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Suitcase Alternating Curtsy Lunge,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Overhead Alternating Curtsy Lunge,Intermediate,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Dumbbell Goblet Alternating Curtsy Lunge,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Kettlebell Horn Grip Alternating Curtsy Lunge,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Kettlebell Goblet Alternating Curtsy Lunge,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Clubbell Order Alternating Curtsy Lunge,Novice,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Clubbell Order Alternating Curtsy Lunge,Novice,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Clubbell Order Alternating Curtsy Lunge,Novice,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Macebell Order Alternating Curtsy Lunge,Novice,Macebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bodyweight Alternating Curtsy Lunge,Beginner,Bodyweight,Quadriceps Femoris,Gluteus Maximus,Lower Body
Heavy Sandbag Bear Hug Alternating Curtsy Lunge,Intermediate,Heavy Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Heavy Sandbag Shoulder Alternating Curtsy Lunge,Intermediate,Heavy Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Plate Overhead Alternating Curtsy Lunge,Intermediate,Weight Plate,Quadriceps Femoris,Gluteus Maximus,Lower Body
Sandbag Front Rack Alternating Curtsy Lunge,Novice,Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Sandbag Back Rack Alternating Curtsy Lunge,Novice,Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Plate Hollow Body Hold,Intermediate,Weight Plate,Rectus Abdominis,,Core
Double Dumbbell Seesaw Floor Press,Beginner,Dumbbell,Pectoralis Major,Triceps Brachii,Upper Body
Double Kettlebell Seesaw Bench Press,Beginner,Kettlebell,Pectoralis Major,Triceps Brachii,Upper Body
Double Kettlebell Seesaw Incline Bench Press,Beginner,Kettlebell,Pectoralis Major,Triceps Brachii,Upper Body
Double Kettlebell Tuck L Sit,Intermediate,Kettlebell,Rectus Abdominis,,Core
Double Kettlebell Seesaw Decline Bench Press,Beginner,Kettlebell,Pectoralis Major,Triceps Brachii,Upper Body
Bodyweight Hollow Body Flutter Kicks,Novice,Bodyweight,Rectus Abdominis,Iliopsoas,Core
Double Kettlebell Seesaw Floor Press,Beginner,Kettlebell,Pectoralis Major,Triceps Brachii,Upper Body
Double Dumbbell Seesaw Overhead Press,Beginner,Dumbbell,Anterior Deltoids,Triceps Brachii,Upper Body
Double Dumbbell Arnold Press,Beginner,Dumbbell,Anterior Deltoids,Triceps Brachii,Upper Body
Alternating Double Dumbbell Arnold Press,Beginner,Dumbbell,Anterior Deltoids,Triceps Brachii,Upper Body
Double Dumbbell Seated Arnold Press,Beginner,Dumbbell,Anterior Deltoids,Triceps Brachii,Upper Body
Alternating Double Dumbbell Seated Arnold Press,Beginner,Dumbbell,Anterior Deltoids,Triceps Brachii,Upper Body
Bodyweight Feet Elevated Frog Pump,Novice,Bodyweight,Gluteus Maximus,Biceps Femoris,Lower Body
Miniband Feet Elevated Frog Pump,Novice,Miniband,Gluteus Maximus,Biceps Femoris,Lower Body
Miniband Feet Elevated Glute Bridge,Novice,Miniband,Gluteus Maximus,Biceps Femoris,Lower Body
Bodyweight Reverse Plank,Novice,Bodyweight,Rectus Abdominis,Gluteus Maximus,Core
Wall Ball Toss,Intermediate,Wall Ball,Quadriceps Femoris,Gluteus Maximus,Full Body
Wall Ball Feet Elevated Russian Twist Lateral Toss,Intermediate,Wall Ball,Obliques,Rectus Abdominis,Core
Wall Ball Russian Twist Lateral Toss,Novice,Wall Ball,Obliques,Rectus Abdominis,Core
Wall Ball Lateral Toss,Novice,Wall Ball,Obliques,Rectus Abdominis,Core
Wall Ball Sit Up Toss,Intermediate,Wall Ball,Rectus Abdominis,,Core
Double Kettlebell Suitcase Bulgarian Split Squat Jump,Advanced,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Dumbbell Tall Kneeling Arnold Press,Beginner,Dumbbell,Anterior Deltoids,Triceps Brachii,Upper Body
Barbell Zercher Bulgarian Split Squat,Advanced,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Dumbbell Goblet Bulgarian Split Squat,Intermediate,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Bulgarian Split Squat,Advanced,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Kettlebell Goblet Bulgarian Split Squat,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Landmine Goblet Bulgarian Split Squat,Intermediate,Landmine,Quadriceps Femoris,Gluteus Maximus,Lower Body
Macebell Order Bulgarian Split Squat,Intermediate,Macebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Macebell Order Contralateral Bulgarian Split Squat,Intermediate,Macebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Macebell Order Ipsilateral Bulgarian Split Squat,Intermediate,Macebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Clubbell Order Bulgarian Split Squat,Intermediate,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Plate Overhead Bulgarian Split Squat,Intermediate,Weight Plate,Quadriceps Femoris,Gluteus Maximus,Lower Body
Tire Bulgarian Split Squat,Novice,Tire,Quadriceps Femoris,Gluteus Maximus,Lower Body
Tire Bulgarian Split Squat Jump,Intermediate,Tire,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Dumbbell Front Rack Knee Over Toe Split Squat,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Dumbbell Front Rack Foot Elevated Knee Over Toe Split Squat,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Dumbbell Overhead Knee Over Toe Split Squat,Intermediate,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Dumbbell Overhead Foot Elevated Knee Over Toe Split Squat,Intermediate,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Dumbbell Suitcase Foot Elevated Knee Over Toe Split Squat,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Overhead Ipsilateral Knee Over Toe Split Squat,Intermediate,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Front Rack Contralateral Knee Over Toe Split Squat,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Front Rack Ipsilateral Knee Over Toe Split Squat,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Suitcase Contralateral Knee Over Toe Split Squat,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Suitcase Ipsilateral Knee Over Toe Split Squat,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Dumbbell Goblet Knee Over Toe Split Squat,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Dumbbell Goblet Foot Elevated Knee Over Toe Split Squat,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Suitcase Foot Elevated Contralateral Knee Over Toe Split Squat,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Suitcase Foot Elevated Ipsilateral Knee Over Toe Split Squat,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Overhead Foot Elevated Contralateral Knee Over Toe Split Squat,Intermediate,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Overhead Foot Elevated Ipsilateral Knee Over Toe Split Squat,Intermediate,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Front Rack Foot Elevated Contralateral Knee Over Toe Split Squat,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Front Rack Foot Elevated Ipsilateral Knee Over Toe Split Squat,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Zercher Knee Over Toe Split Squat,Advanced,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Zercher Foot Elevated Knee Over Toe Split Squat,Advanced,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Back Rack Foot Elevated Knee Over Toe Split Squat,Intermediate,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Front Rack Foot Elevated Knee Over Toe Split Squat,Intermediate,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Overhead Foot Elevated Knee Over Toe Split Squat,Advanced,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Barbell Overhead Foot Elevated Knee Over Toe Split Squat,Expert,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bulgarian Bag Back Rack Knee Over Toe Split Squat,Novice,Bulgarian Bag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bulgarian Bag Back Rack Foot Elevated Knee Over Toe Split Squat,Novice,Bulgarian Bag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Plate Overhead Knee Over Toe Split Squat,Intermediate,Weight Plate,Quadriceps Femoris,Gluteus Maximus,Lower Body
Plate Overhead Foot Elevated Knee Over Toe Split Squat,Intermediate,Weight Plate,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Clubbell Order Knee Over Toe Split Squat,Novice,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Clubbell Order Foot Elevated Knee Over Toe Split Squat,Novice,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Clubbell Order Knee Over Toe Split Squat,Novice,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Clubbell Order Foot Elevated Knee Over Toe Split Squat,Novice,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Clubbell Order Contralateral Knee Over Toe Split Squat,Novice,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Clubbell Order Foot Elevated Contralateral Knee Over Toe Split Squat,Novice,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Clubbell Order Ipsilateral Knee Over Toe Split Squat,Novice,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Clubbell Order Foot Elevated Ipsilateral Knee Over Toe Split Squat,Novice,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Macebell Order Knee Over Toe Split Squat,Novice,Macebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Macebell Order Foot Elevated Knee Over Toe Split Squat,Novice,Macebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Macebell Order Contralateral Knee Over Toe Split Squat,Novice,Macebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Macebell Order Foot Elevated Contralateral Knee Over Toe Split Squat,Novice,Macebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Macebell Order Ipsilateral Knee Over Toe Split Squat,Novice,Macebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Macebell Order Foot Elevated Ipsilateral Knee Over Toe Split Squat,Novice,Macebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Sandbag Front Rack Knee Over Toe Split Squat,Novice,Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Sandbag Front Rack Foot Elevated Knee Over Toe Split Squat,Novice,Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Suitcase Foot Elevated Ipsilateral Knee Over Toe Split Squat,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Suitcase Ipsilateral Knee Over Toe Split Squat,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Front Rack Foot Elevated Knee Over Toe Split Squat,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Front Rack Foot Elevated Contralateral Knee Over Toe Split Squat,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
